boxer_id,name,wiki_url,norm,pbo_appearances
Elvis_Rodriguez,Elvis Rodriguez,https://en.wikipedia.org/wiki/Elvis_Rodriguez,elvis rodriguez,12
Aqib_Fiaz,Aqib Fiaz,https://en.wikipedia.org/wiki/Aqib_Fiaz,aqib fiaz,12
Issac_Hardman,Issac Hardman,https://en.wikipedia.org/wiki/Issac_Hardman,issac hardman,12
John_Hedges,John Hedges,https://en.wikipedia.org/wiki/John_Hedges,john hedges,12
Ellie_Scotney,Ellie Scotney,https://en.wikipedia.org/wiki/Ellie_Scotney,ellie scotney,12
Bektemir_Melikuziev,Bektemir Melikuziev,https://en.wikipedia.org/wiki/Bektemir_Melikuziev,bektemir melikuziev,12
Junto_Nakatani,Junto Nakatani,https://en.wikipedia.org/wiki/Junto_Nakatani,junto nakatani,12
Eithan_James,Eithan James,https://en.wikipedia.org/wiki/Eithan_James,eithan james,12
Rohan_Polanco,Rohan Polanco,https://en.wikipedia.org/wiki/Rohan_Polanco,rohan polanco,12
Lauren_Price,Lauren Price,https://en.wikipedia.org/wiki/Lauren_Price,lauren price,12
Sandy_Ryan,Sandy Ryan,https://en.wikipedia.org/wiki/Sandy_Ryan,sandy ryan,12
Jeamie_Tshikeva,Jeamie Tshikeva,https://en.wikipedia.org/wiki/Jeamie_Tshikeva,jeamie tshikeva,12
Royston_Barney-Smith,Royston Barney-Smith,https://en.wikipedia.org/wiki/Royston_Barney-Smith,royston barney smith,12
Robbie_Davies_Jr,Robbie Davies Jr,https://en.wikipedia.org/wiki/Robbie_Davies_Jr,robbie davies,11
Lewis_Ritson,Lewis Ritson,https://en.wikipedia.org/wiki/Lewis_Ritson,lewis ritson,11
Jason_Moloney,Jason Moloney,https://en.wikipedia.org/wiki/Jason_Moloney,jason moloney,11
Tevin_Farmer,Tevin Farmer,https://en.wikipedia.org/wiki/Tevin_Farmer,tevin farmer,11
Savannah_Marshall,Savannah Marshall,https://en.wikipedia.org/wiki/Savannah_Marshall,savannah marshall,11
Regis_Prograis,Regis Prograis,https://en.wikipedia.org/wiki/Regis_Prograis,regis prograis,11
Kubrat_Pulev,Kubrat Pulev,https://en.wikipedia.org/wiki/Kubrat_Pulev,kubrat pulev,11
Josh_Taylor_(boxer),Josh Taylor,https://en.wikipedia.org/wiki/Josh_Taylor_(boxer),josh taylor,11
Murodjon_Akhmadaliev,Murodjon Akhmadaliev,https://en.wikipedia.org/wiki/Murodjon_Akhmadaliev,murodjon akhmadaliev,11
Kevin_Johnson,Kevin Johnson,https://en.wikipedia.org/wiki/Kevin_Johnson,kevin johnson,11
Jamel_Herring,Jamel Herring,https://en.wikipedia.org/wiki/Jamel_Herring,jamel herring,11
Lamont_Roach_Jr.,Lamont Roach,https://en.wikipedia.org/wiki/Lamont_Roach_Jr.,lamont roach,11
Brandon_Figueroa,Brandon Figueroa,https://en.wikipedia.org/wiki/Brandon_Figueroa,brandon figueroa,11
George_Kambosos_Jr.,George Kambosos Jr,https://en.wikipedia.org/wiki/George_Kambosos_Jr.,george kambosos,11
Abraham_Nova,Abraham Nova,https://en.wikipedia.org/wiki/Abraham_Nova,abraham nova,11
Angelo_Leo,Angelo Leo,https://en.wikipedia.org/wiki/Angelo_Leo,angelo leo,11
Mario_Barrios,Mario Barrios,https://en.wikipedia.org/wiki/Mario_Barrios,mario barrios,11
Gervonta_Davis,Gervonta Davis,https://en.wikipedia.org/wiki/Gervonta_Davis,gervonta davis,11
Jose_Zepeda,Jose Zepeda,https://en.wikipedia.org/wiki/Jose_Zepeda,jose zepeda,11
Albert_Bell,Albert Bell,https://en.wikipedia.org/wiki/Albert_Bell,albert bell,11
Chris_Eubank_Jr.,Chris Eubank Jr.,https://en.wikipedia.org/wiki/Chris_Eubank_Jr.,chris eubank,11
Kamil_Sokolowski,Kamil Sokolowski,https://en.wikipedia.org/wiki/Kamil_Sokolowski,kamil sokolowski,11
Leigh_Wood,Leigh Wood,https://en.wikipedia.org/wiki/Leigh_Wood,leigh wood,11
Sergey_Lipinets,Sergey Lipinets,https://en.wikipedia.org/wiki/Sergey_Lipinets,sergey lipinets,11
