name,pbo_appearances
Aidan Walsh,4
Aira Villegas,4
Alan Campa,4
Alberto Guevara,4
Alberto Mercado,4
Alejandro Guerrero,4
Alex Saucedo,4
Alexander Besputin,4
Alexander Povetkin,4
Alexandre Gaumont,4
Alexis Boureima Kabore,4
Alexis Espino,4
Alfredo Angulo,4
Alfredo Santiago,4
Ali Eren Demirezen,4
Ali Izmailov,4
Alireza Ghadiri,4
Alvaro Terrero,4
Andre Sterling,4
Andres Campos,4
Andrey Sirotkin,4
Andy Hiraoka,4
Angel Ayala Lardizabal,4
Angelino Cordova,4
Aram Avagyan,4
Armend Xhoxhaj,4
Arsene Fosso,4
Art Barrera Jr,4
Arthur Biyarslanov,4
Artur Szpilka,4
Arturo Cardenas,4
Asadkhuja Muydinkhujaev,4
Ashley Lane,4
Ashleyann Lozada,4
Ashton Sylve,4
Aslambek Idigov,4
Aston Palicte,4
Avious Griffin,4
Avni Yildirim,4
Ayoub Ghadfa,4
Azinga Fuzile,4
Bakary Samake,4
Ben Fields,4
Ben Marksby,4
Ben Thomas,4
Billy Adams,4
Billy Allington,4
Brad Solomon,4
Brandon Brewer,4
Brandon Grach,4
Brandon Leon Benitez,4
Brandon Valdes,4
Bryan Acosta,4
Caitlin Parker,4
Callum Johnson,4
Carl Frampton,4
Carlos Buitrago,4
Carlos Caraballo Rodriguez,4
Carlos Gongora,4
Carlos Jackson,4
Cesar Ignacio Paredes,4
Cesar Nunez,4
Chang Yuan,4
Charles Martin,4
Chris Algieri,4
Chris Arreola,4
Chris Eubank Jnr,4
Clay Waterman,4
Cody Beekin,4
Constantin Ursu,4
Corey Marksman,4
Cristian Pinales,4
Curmel Moton,4
Custio Clayton,4
Da'velle Smith,4
Dale Arrowsmith,4
Damian Kiwior,4
Damian Wrzesinski,4
Damien Vazquez,4
Dan Garber,4
Dan Hill,4
Dan Karpency,4
Daniel Blancas,4
Daniel Bocianski,4
Daniel Gonzalez,4
Danielito Zorilla,4
Danilo Creati,4
Danny Ball,4
Danny Whitaker,4
Darren Tetley,4
David Cuellar Contreras,4
David Jamieson,4
David Jimenez,4
David Lemieux,4
David Price,4
David Simpson,4
Dean Dodge,4
Dean Sutherland,4
Demler Zamora,4
Demsey McKean,4
Denis Radovan,4
Dennis Contreras,4
Derek Chisora,4
Devis Boschiero,4
Diego Ramirez,4
Dilan Prasovic,4
Diuhl Olguin,4
Dominik Musil,4
Ebenezer Tetteh,4
Eduardo Estela,4
Edwin de Los Santos,4
Elias Espadas,4
Elin Cederroos,4
Elliott Whale,4
Emiliano Moreno,4
Eoghan Lavin,4
Erdenebatyn Tsendbaatar,4
Eric Donovan,4
Eric Molina,4
Eridson Garcia,4
Erik Nazaryan,4
Esra Yrldrz,4
Estelle Mossely,4
Estivan Falcao,4
Evgeny Tishchenko,4
Faris Chevalier,4
Fedor Chudinov,4
Felix Verdejo,4
Fernando Vargas Jr,4
Francisco Rodriguez,4
Francisco Veron,4
Gael Cabrera,4
Gamal Yafai,4
Genesis Servania,4
George Davey,4
Georgi Velichkov,4
Giemel Magramo,4
Gilberto Mendoza,4
Giovani Santillan,4
Giovanni Marquez,4
Giovanni de Carolis,4
Gleb Bakshi,4
Gonzalo Gaston Coria,4
Guido Emmanuel Schramm,4
Gurgen Hovhannisyan,4
Gustavo Daniel Lemos,4
Hassan Hamdan,4
Hector Luis Garcia,4
Hector Perez,4
Hector Tanajara,4
Hector Valdez,4
Hendri Cedeno,4
Hironori Mishiro,4
Humberto Galindo,4
Hunter Ioane,4
Ihor Shevadzutskyi,4
Immanuwel Aleem,4
Isaac Cruz Gonzalez,4
Ivan Baranchyk,4
Ivan Zucco,4
Ivana Habazin,4
Jack Culcay,4
Jackson Jon England,4
Jackson Marinez,4
Jahmal Harvey,4
Jaime Arboleda,4
Jair Valtierra,4
Jamal James,4
James Flint,4
James Martin,4
Jarrell Miller,4
Jasmina Zapotoczna,4
Javier Francisco Maciel,4
Jayde Mitchell,4
Jeff Horn,4
Jeremia Nakathila,4
Jermaine Dhliwayo,4
Jerson Ortiz,4
Jessica Camara,4
Jesus Antonio Perez Campos,4
Joe Howarth,4
Joe Hughes,4
Joe Jones,4
Joe Pigford,4
Joel Pavlides,4
John Bauza,4
John Docherty,4
John Henry Mosquera,4
Jon Miguez,4
Jonas Sultan,4
Jonatas Rodrigo Gomes de Oliveira,4
Jonathan Rice,4
Jonathan Rodriguez,4
Jonhatan Cardoso,4
Jordan Grant,4
